"idCN";"tittle";"content";"image";"noteImage";"idTN"
77;"Tiêu đề 1";"                                                                                                        Nhân kỷ niệm 30 năm Ngày hội Quốc phòng toàn dân (22/12/1989 – 22/12/2019) và 75 năm ngày thành lập Quân đội nhân dân Việt Nam (22/12/1944 - 22/12/2019), kỷ niệm ngày Nhà giáo Việt Nam (20/11/2019) và 4 năm thành lập Đội thanh niên vận động hiến máy Học viện Kỹ thuật mật mã. Ngày 14/11/2019 Đội thanh niên vận động hiến máu Học viện Kỹ thuật mật mã phối hợp cùng Đoàn thanh niên Học viện và Bệnh viện Trung ương Quân đội 108 tổ chức ngày hội hiến máu với khẩu hiệu “Trái Tim Mật Mã” cùng thông điệp “Mở khóa trái tim – Chia sẻ yêu thương”.
                        
                        
                        
                        ";"hm-2.jpg";"Hình 1";80
78;"Tiêu Đề 2";"Chương trình được tổ chức nhằm nâng cao tinh thần của đoàn viên, sinh viên tích cực hưởng ứng phong trào hiến máu nhân đạo và hoạt động xã hội. Tuyên truyền mạnh mẽ tới toàn thể cán bộ, giáo viên, sinh viên trong toàn Học viện về lợi ích, ý nghĩa cao đẹp của việc hiến máu nhân đạo.";"20-11-1.jpg";"Hình 2";80
79;"tiêu đề 1";"Netpoleon là công ty đa quốc gia, có trụ sở tại Nhật Bản. Netpoleon hiện tại có nhiều văn phòng tại các quốc gia khác nhau tại thị trường APJ như Malaysia, Thái Lan, Philippines, Indonesia, Việt Nam, Úc, Ấn Độ,… Netpoleon chuyên phân phối các sản phẩm về mạng ";"hm-2.jpg";"Hình 1";81
80;"Tiêu đề 2";"với chủ đề “Mô hình Cyber Kill Chain ";"login_BG.png";"Hình 2";81
81;"Tiêu đề 1";"                          Trong khuôn khổ thỏa thuận hợp tác giữa Bộ GDĐT và Bộ TTTT, từ năm 2019 Cuộc thi “Sinh viên với ATTT” sẽ được 2 Bộ đồng bảo trợ. Tiếp nối thành công của các năm trước, cuộc thi  năm nay tiếp tục được Cục CNTT (Bộ GD
                        ";"hm-2.jpg";"Hình 1";82
82;"Tiêu đề 2";"                          Cuộc thi nhằm tuyên truyền, phổ biến, nâng cao nhận thức về an toàn thông tin cho  các cơ sở GD
                        ";"tt2019-1.jpg";"Hình 2";82
83;"1";"Chiều ngày 13/11/2019, tại sân bóng Học viện đã diễn ra trận chung kết giữa hai đội AT14 thuộc hệ quản lý sinh viên và đội học viên quốc tế thuộc hệ quản lý học viên. Sau hai hiệp thi đấu nẩy lửa và kịch tính, đội học viên quốc tế đã dành chiến thắng với tỉ số 2 – 1 và dành chức vô địch giải đấu năm nay.                        ";"bongda-3.jpg";"Hình 1";83
84;"2";"Theo đánh giá của ban tổ chức, giải đấu năm nay diễn ra với chất lượng tốt, các đội tham gia giải đấu đề cao tinh thần thể thao, không để xẩy ra chấn thương va chạm lớn giữa các cầu thủ. 64 đội bóng đã cống hiến cho khán giả nhiều trận đấu hay, thu hút hàng ngàn lượt cổ động viên của các đội đến cổ vũ.";"login_BG.png";"Hình 2";83
85;"1";"Tại Lễ bế giảng và trao bằng, Học viện đã trao bằng cho 1 Tiến sĩ và 50 Thạc sĩ đã hoàn thành chương trình học và bảo vệ thành công luận án, luận văn theo quy định. Nghiên cứu sinh và học viên cao học đến từ các chuyên ngành đào tạo của Học viện. ";"20-11-1.jpg";"Hình";84
86;"2";"Thay mặt ban Giám đốc Học viện, TS Hoàng Văn Quân – Phó Giám đốc Học viện gửi lời chúc mừng tới các tân Tiến sĩ, Thạc sĩ cùng gia đình, bạn bè, đồng nghiệp. Đồng chí cũng bày tỏ hy vọng trong thời gian tới, các tân Tiến sĩ, Thạc sĩ sẽ tiếp tục theo đuổi hướng nghiên cứu mà mình đã lựa chọn và thành công hơn trong công tác chuyên môn.";"bongda-3.jpg";"Hình 2";84
104;"Tiêu đề 1";"Tham dự Lễ bế giảng và trao bằng, có PGS.TS Nguyễn Hồng Quang – Giám đốc Học viện và các đồng chí trong Ban Giám đốc cùng đại diện lãnh đạo các cơ quan đơn vị.";"20-11-1_1.jpg";"Hình 1";85
105;"Tiêu đề 1";"Trong khuôn khổ thỏa thuận hợp tác giữa Bộ GDĐT và Bộ TTTT, từ năm 2019 Cuộc thi “Sinh viên với ATTT” sẽ được 2 Bộ đồng bảo trợ. Tiếp nối thành công của các năm trước, cuộc thi  năm nay tiếp tục được Cục CNTT (Bộ GD";"hm-2_1.jpg";"Hình 1";86
107;"Tiêu đề 1";"với chủ đề “Mô hình Cyber Kill Chain ";"an_toan_thong_tin_ky_thuat_mat_ma_2018.jpg";"Hình 1 : 11111";89
